id,timestamp,inputDataHash,processingSteps,decisionOutcome,featureVector,contextMetadata,decision,hasProcessingSteps,inputLength,outputLength,processingStepsCount,processingTime,riskScore
audit_1763786948899_4x7nuaudl,2025-11-22T04:49:08.899Z,edd8d934cfa23524950809cf602bcacf3e409a2a425268c932ec308de2405255,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,3,0
audit_1763786948885_zt7sbbkke,2025-11-22T04:49:08.885Z,99841cf3cd35747a1441bf1ede0a59bb9f8f5a00d1fd9094b88546c6d899f242,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,4,0
audit_1763786948875_ec7ddhhno,2025-11-22T04:49:08.875Z,d1bdd627c266269554795333b2d99cfc8f0005c81c7dd7ec67224c7e07558c63,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,2,0
audit_1763786948864_c94t1gifp,2025-11-22T04:49:08.864Z,000028d31b7f51bd29e3740fb10013d43160ddea20f4b8ebfde57fdb62639fe7,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,3,0
audit_1763786948847_1iyujw9xe,2025-11-22T04:49:08.847Z,8b1a793b2bfcdbd27765cf65833fb65cc07b6c94bedd3097c0394b7d9b396088,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,2,0
audit_1763786948834_vf4lsi50a,2025-11-22T04:49:08.834Z,4b1d8928533442dbd796f0ad468adcb2af7ec19d8cc52b8b27ddf123d5ceded5,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,42,42,4,7,0
audit_1763786945399_euf549rmi,2025-11-22T04:49:05.399Z,7dec524a5d8cb417abc13243ea0deef5d4516070abb0c933920f028709848ef6,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,28,28,4,2,0
audit_1763786945395_y3e7ml8ha,2025-11-22T04:49:05.395Z,42b3de043e607922ecb90bd3011f1a71f0bc8632ffa41911b7b32073962dd283,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,17,17,4,3,0
audit_1763786945348_015p7vup5,2025-11-22T04:49:05.348Z,1b850f9064e11e7435b3c60be87969f4770193db21db3535a11e0fc3a000e3dc,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,112,112,4,6,0
audit_1763786945323_erekaamsa,2025-11-22T04:49:05.323Z,1b850f9064e11e7435b3c60be87969f4770193db21db3535a11e0fc3a000e3dc,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,112,112,4,6,0
audit_1763786945223_aie6ywc6h,2025-11-22T04:49:05.223Z,1b850f9064e11e7435b3c60be87969f4770193db21db3535a11e0fc3a000e3dc,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,112,112,4,5,0
audit_1763786944400_1tu8otv21,2025-11-22T04:49:04.400Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,6,0
audit_1763786944373_61ig9yxer,2025-11-22T04:49:04.373Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,7,0
audit_1763786944349_mev7h7g7c,2025-11-22T04:49:04.349Z,c277f8c0f10547d9cd5a060b23ebdfc15c708203c58918c865534e368fcd1630,"UnicodeNormalization,SymbolStripping,EscapeNeutralization,PatternRedaction",[object Object],[object Object],[object Object],sanitized,true,1041,1041,4,6,0
